Clusters,Algorithm,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
2,K-Means,0.6300471284354711,0.4861670617644721,354.36555591073966
2,Hierarchical,0.6300471284354711,0.4861670617644721,354.36555591073966
3,K-Means,0.48292893354301647,0.7867328111284443,351.29506405605156
3,Hierarchical,0.5047999262278895,0.7479765230789547,349.2541845059015
4,K-Means,0.4439328545809961,0.9081552046439536,313.8929250838776
4,Hierarchical,0.43303613607091695,0.8485976348231026,301.10401533247824
5,K-Means,0.42270440250672353,0.992855632636628,263.17332519371126
5,Hierarchical,0.3492635711930099,0.9057872374338295,272.02426066815764
Auto,Mean-Shift,0.4769613372859602,0.7616196162426837,290.4706830648938
